"","id","name","screen_name","Potential_Climate_Denial"
"786",671365602720792576,"Marsha Blackburn","MarshaBlackburn","0"
"787",671437728098185216,"Paul Tonko","RepPaulTonko","0"
"788",675039443498237952,"Senator Ben Sasse","SenSasse","0"
"789",675076520289923072,"Richard Shelby","SenShelby","0"
"790",675781857615740928,"(((Rep. Nadler)))","RepJerryNadler","0"
"791",647132230796582912,"Senator Jeff Merkley","SenJeffMerkley","0"
"792",651451366641115136,"Adam Schiff","RepAdamSchiff","0"
"793",653996145945907200,"Senator Gary Peters","SenGaryPeters","0"
"794",656630036431282176,"Nancy Pelosi","NancyPelosi","0"
"795",667078332845064192,"Sen. John Barrasso","SenJohnBarrasso","0"
"796",662742475484758016,"Rep. Susan Davis","RepSusanDavis","1"
"797",675087424561799168,"Rep. Jared Huffman","RepHuffman","1"
"798",644514938384465920,"Paul Tonko","RepPaulTonko","1"
"799",656995503234793472,"Senator Jon Tester","SenatorTester","0"
"800",664831884661268480,"Chellie Pingree","chelliepingree","0"
"801",671485753663332352,"Rep. Doris Matsui","DorisMatsui","0"
"802",671724163082682368,"Rep. Steve Scalise","SteveScalise","0"
"803",654761241781493760,"Jerry McNerney","RepMcNerney","0"
"804",656537827719708672,"Amy Klobuchar","amyklobuchar","0"
"805",646720720060456960,"Paul Tonko","RepPaulTonko","0"
"806",664957155171278848,"David Cicilline","RepCicilline","0"
"807",675726068204961792,"Amy Klobuchar","amyklobuchar","0"
"808",644351741593583616,"Brian Schatz","brianschatz","0"
"809",654098670703497216,"Scott Taylor","Scotttaylorva","0"
"810",674602642526609408,"Paul Tonko","RepPaulTonko","0"
"811",675504913032478720,"Steve King","SteveKingIA","0"
"812",644351428673339392,"Brian Schatz","brianschatz","0"
"813",646866088945393664,"TeamMoulton","teammoulton","0"
"814",650020359186554880,"Senator Tim Kaine","timkaine","0"
"815",654712365594734592,"Rep. Mark Walker","RepMarkWalker","0"
"816",672459117232037888,"Governor Dan Malloy","GovMalloyOffice","0"
"817",673969842752495616,"Richard Shelby","SenShelby","0"
"818",675781990457675776,"Sen. Maggie Hassan","SenatorHassan","0"
"819",644542368448954368,"Rep. Elise Stefanik","RepStefanik","0"
"820",647517420811354112,"Rep. Rick Larsen","RepRickLarsen","0"
"821",659383469672411136,"Sen. Lamar Alexander","SenAlexander","0"
"822",672803826743640064,"Rep Robert Pittenger","reppittenger","0"
"823",673944277194551296,"Senator Chris Coons","ChrisCoons","0"
"824",639229365436444672,"Gerry Connolly","GerryConnolly","0"
"825",651083222424625152,"Paul Tonko","RepPaulTonko","0"
"826",661993227277479936,"Senator Jeff Merkley","SenJeffMerkley","0"
"827",675423080609652736,"Brian Babin","RepBrianBabin","0"
"828",676128167111847936,"Kirsten Gillibrand","SenGillibrand","0"
"829",633717476484870144,"Ruben Gallego","RepRubenGallego","0"
"830",644629538429870080,"Rep. Carlos Curbelo","RepCurbelo","0"
"831",665658891376685056,"Rep. Kevin Cramer","RepKevinCramer","0"
"832",675764956537741312,"Jan Schakowsky","janschakowsky","0"
"833",676126940575703040,"Kirsten Gillibrand","SenGillibrand","0"
"834",655064812846784512,"Rep. Ted Lieu","RepTedLieu","0"
"835",667419995157217280,"Paul Tonko","RepPaulTonko","0"
"836",671935076591079424,"Dana Rohrabacher","DanaRohrabacher","0"
"837",649267362554880000,"Rep. Lois Frankel","RepLoisFrankel","0"
"838",666721253856690176,"Senator Jeff Merkley","SenJeffMerkley","1"
"839",666981430535303168,"Sean Duffy","RepSeanDuffy","1"
"840",673137280681246720,"Brian Schatz","brianschatz","1"
"841",648638384227897344,"Paul Tonko","RepPaulTonko","0"
"842",666754114651602944,"Senator Chris Coons","ChrisCoons","0"
"843",672514141156937728,"Senator Chris Coons","ChrisCoons","0"
"844",675011200489517056,"Raul M. Grijalva","RepRaulGrijalva","0"
"845",675825558312325120,"Ron Wyden","RonWyden","0"
"846",632188673698734080,"Jerry McNerney","RepMcNerney","0"
"847",633642983750025216,"Rep. Ted Lieu","RepTedLieu","0"
"848",636953425008271360,"Dana Rohrabacher","DanaRohrabacher","0"
"849",647472059958824960,"Rep. Rick Larsen","RepRickLarsen","0"
"850",649291833005182976,"Rep. Ted Lieu","RepTedLieu","0"
"851",671819923992281088,"Judge Carter","JudgeCarter","0"
"852",672458291130327040,"Governor Dan Malloy","GovMalloyOffice","0"
"853",639521066919063552,"Rep. Alan Lowenthal","RepLowenthal","0"
"854",672537444789694464,"Senator Chris Coons","ChrisCoons","0"
"855",654037700404768768,"Paul Tonko","RepPaulTonko","0"
"856",664509862185795584,"Mike Quigley","RepMikeQuigley","0"
"857",666636986317426688,"Senator Tom Carper","SenatorCarper","0"
"858",672090082581590016,"Martin Heinrich","MartinHeinrich","0"
"859",649672486045528064,"Rep. Carlos Curbelo","RepCurbelo","0"
"860",672537807387287552,"Sen Dianne Feinstein","SenFeinstein","0"
